,fwc_link,course_titles,coupon_links,coupon_url,timestamps
0,https://freewebcart.com/category/provider/udemy-coupon/,"Canva Masterclass: Social Media, T-Shirt, Video Edit, Motion - Freewebcart",https://freewebcart.com/canva-masterclass-social-media-t-shirt-video-edit-motion/,https://www.udemy.com/course/canva-masterclass-social-media-t-shirt-video-edit-motion/?couponCode=D359E0C92A0F9AD9323C,2025-05-09 23:51:47.963638
1,https://freewebcart.com/category/provider/udemy-coupon/,Python Programming Mastery: From Beginner to Pro - Freewebcart,https://freewebcart.com/python-programming-mastery-from-beginner-to-pro/,https://www.udemy.com/course/python-programming-mastery-from-beginner-to-pro/?couponCode=B8FAA477DC4B0DCC7673,2025-05-09 23:51:49.276933
2,https://freewebcart.com/category/provider/udemy-coupon/,Complete jQuery Masterclass: From Beginner to Expert - Freewebcart,https://freewebcart.com/complete-jquery-masterclass-from-beginner-to-expert/,https://www.udemy.com/course/complete-jquery-masterclass-from-beginner-to-expert/?couponCode=E43FC53FF0A274CC2B01,2025-05-09 23:51:50.588850
3,https://freewebcart.com/category/provider/udemy-coupon/,Laravel 10 Essentials: User Roles & Permissions with Spatie - Freewebcart,https://freewebcart.com/laravel-10-essentials-user-roles-permissions-with-spatie/,https://www.udemy.com/course/laravel-10-essentials-user-roles-permissions-with-spatie/?couponCode=F002E97589A2C0CCC8DA,2025-05-09 23:51:52.119137
4,https://freewebcart.com/category/provider/udemy-coupon/,Mastering HTML5: From Beginner to Advanced 2025 - Freewebcart,https://freewebcart.com/mastering-html5-from-beginner-to-advanced-2025/,https://www.udemy.com/course/mastering-html5-from-beginner-to-advanced/?couponCode=4E8C4C762BCDCD78A331,2025-05-09 23:51:53.506347
5,https://freewebcart.com/category/provider/udemy-coupon/,Dart Mastery - Become a Dart Master From Zero to Hero - Freewebcart,https://freewebcart.com/dart-mastery-become-a-dart-master-from-zero-to-hero/,https://www.udemy.com/course/dart-mastery-become-a-dart-master-from-hero-to-zero-dart/?couponCode=B39B027AEB3B852A9BBD,2025-05-09 23:51:54.830722
6,https://freewebcart.com/category/provider/udemy-coupon/,Instagram Marketing Bootcamp: From Zero to Hero - Freewebcart,https://freewebcart.com/instagram-marketing-bootcamp-from-zero-to-hero/,https://www.udemy.com/course/instagram-marketing-bootcamp-from-zero-to-hero/?couponCode=88B94CE0D9B7B80903ED,2025-05-09 23:51:56.198744
7,https://freewebcart.com/category/provider/udemy-coupon/,Advanced Capcut: From Beginner to Motion Graphics Master - Freewebcart,https://freewebcart.com/advanced-capcut-from-beginner-to-motion-graphics-master/,https://www.udemy.com/course/advanced-capcut-from-beginner-to-motion-graphics-master/?couponCode=DBFCC46D6762918B643C,2025-05-09 23:51:57.605802
8,https://freewebcart.com/category/provider/udemy-coupon/,The Complete Social Media Video Editing Masterclass - Freewebcart,https://freewebcart.com/the-complete-social-media-video-editing-masterclass/,https://www.udemy.com/course/the-complete-social-media-video-editing-masterclass/?couponCode=2A36A5A621B0C1C52147,2025-05-09 23:51:58.970926
9,https://freewebcart.com/category/provider/udemy-coupon/,Build Complete CMS Blog in PHP MySQL Bootstrap & PDO - Freewebcart,https://freewebcart.com/build-complete-cms-blog-in-php-mysql-bootstrap-pdo/,https://www.udemy.com/course/build-complete-2022-cms-blog-in-php-mysql-bootstrap-pdo/?couponCode=PHPBLOG68,2025-05-09 23:52:00.289720
